Date,Country,Status,AQI Value
8/6/2022,Togo,Unhealthy for Sensitive Groups,101
8/6/2022,Trinidad and Tobago,Good,46
8/6/2022,Turkey,Moderate,71
8/6/2022,Turkmenistan,Moderate,63
8/6/2022,Uganda,Unhealthy for Sensitive Groups,150
8/6/2022,Ukraine,Moderate,71
8/6/2022,United Arab Emirates,Unhealthy for Sensitive Groups,146
8/6/2022,United Kingdom of Great Britain and Northern Ireland,Good,47
8/6/2022,United States of America,Moderate,70
8/6/2022,Uzbekistan,Good,41
8/6/2022,Vatican,Moderate,55
8/6/2022,Venezuela,Good,4
8/6/2022,Vietnam,Moderate,71
8/6/2022,Zambia,Very Unhealthy,284
8/7/2022,Albania,Good,14
8/7/2022,Algeria,Moderate,65
8/7/2022,Andorra,Good,21
8/7/2022,Angola,Moderate,82
8/7/2022,Argentina,Good,18
8/7/2022,Armenia,Good,35
8/7/2022,Australia,Moderate,62
8/7/2022,Austria,Good,37
8/7/2022,Azerbaijan,Good,11
8/7/2022,Bahrain,Unhealthy,168
8/7/2022,Bangladesh,Unhealthy for Sensitive Groups,141
8/7/2022,Belarus,Good,18
8/7/2022,Belgium,Good,28
8/7/2022,Belize,Good,14
8/7/2022,Bermuda,Good,5
8/7/2022,Bolivia,Good,32
8/7/2022,Bosnia and Herzegovina,Moderate,81
8/7/2022,Brazil,Moderate,72
8/7/2022,Brunei,Good,15
8/7/2022,Bulgaria,Good,32
8/7/2022,Burkina Faso,Unhealthy,181
8/7/2022,Cambodia,Good,15
8/7/2022,Canada,Moderate,61
8/7/2022,Cape Verde,Moderate,85
8/7/2022,Cayman Islands,Good,1
8/7/2022,Central African Republic,Moderate,76
8/7/2022,Chad,Good,42
8/7/2022,Chile,Moderate,96
8/7/2022,China,Unhealthy,154
8/7/2022,Colombia,Moderate,63
8/7/2022,Costa Rica,Good,21
8/7/2022,Croatia,Good,34
8/7/2022,Cyprus,Moderate,62
8/7/2022,Czech Republic,Good,47
8/7/2022,Denmark,Good,18
8/7/2022,Dominican Republic,Good,33
8/7/2022,Ecuador,Moderate,66
8/7/2022,Egypt,Moderate,86
8/7/2022,El Salvador,Moderate,74
8/7/2022,Estonia,Good,16
8/7/2022,Ethiopia,Unhealthy for Sensitive Groups,104
8/7/2022,Finland,Good,18
8/7/2022,France,Moderate,55
8/7/2022,French Guiana,Good,14
8/7/2022,Gabon,Unhealthy for Sensitive Groups,137
8/7/2022,Gambia,Good,3
8/7/2022,Georgia,Moderate,55
8/7/2022,Germany,Moderate,54
8/7/2022,Ghana,Moderate,84
8/7/2022,Gibraltar,Good,46
8/7/2022,Greece,Good,44
8/7/2022,Grenada,Good,1
8/7/2022,Guadeloupe,Good,23
8/7/2022,Guam,Good,2
8/7/2022,Guatemala,Good,14
8/7/2022,Honduras,Good,5
8/7/2022,Hong Kong,Good,23
8/7/2022,Hungary,Good,43
8/7/2022,Iceland,Good,44
8/7/2022,India,Unhealthy,159
8/7/2022,Indonesia,Moderate,93
8/7/2022,Iran,Unhealthy for Sensitive Groups,143
8/7/2022,Iraq,Unhealthy,163
8/7/2022,Ireland,Good,23
8/7/2022,Israel,Moderate,72
8/7/2022,Italy,Moderate,96
8/7/2022,Ivory Coast,Good,42
8/7/2022,Japan,Moderate,69
8/7/2022,Jersey,Good,23
8/7/2022,Jordan,Good,28
8/7/2022,Kazakhstan,Unhealthy for Sensitive Groups,121
8/7/2022,Kenya,Moderate,72
8/7/2022,Kosovo,Good,42
8/7/2022,Kuwait,Unhealthy for Sensitive Groups,147
8/7/2022,Kyrgyzstan,Moderate,51
8/7/2022,Laos,Good,24
8/7/2022,Latvia,Good,12
8/7/2022,Lebanon,Moderate,76
8/7/2022,Liberia,Good,35
8/7/2022,Liechtenstein,Good,23
8/7/2022,Lithuania,Good,31
8/7/2022,Luxembourg,Good,38
8/7/2022,Macao,Good,25
8/7/2022,Macedonia,Moderate,59
8/7/2022,Madagascar,Good,32
8/7/2022,Malaysia,Moderate,65
8/7/2022,Malta,Good,48
8/7/2022,Martinique,Good,19
8/7/2022,Mexico,Moderate,81
8/7/2022,Moldova,Good,18
8/7/2022,Monaco,Good,27
8/7/2022,Mongolia,Moderate,54
8/7/2022,Montenegro,Good,48
8/7/2022,Myanmar,Good,17
8/7/2022,Nepal,Good,43
8/7/2022,Netherlands,Good,44
8/7/2022,New Caledonia,Good,9
8/7/2022,New Zealand,Good,19
8/7/2022,Nigeria,Unhealthy for Sensitive Groups,105
8/7/2022,Norway,Good,18
8/7/2022,Pakistan,Moderate,91
8/7/2022,Palestinian Territory,Good,48
8/7/2022,Peru,Moderate,84
8/7/2022,Philippines,Moderate,83
8/7/2022,Poland,Good,30
8/7/2022,Portugal,Good,34
8/7/2022,Puerto Rico,Good,12
8/7/2022,Qatar,Unhealthy,183
8/7/2022,Reunion,Good,16
8/7/2022,Romania,Moderate,66
8/7/2022,Russia,Unhealthy for Sensitive Groups,149
8/7/2022,San Marino,Moderate,68
8/7/2022,Senegal,Good,33
8/7/2022,Serbia,Moderate,61
8/7/2022,Singapore,Moderate,57
8/7/2022,Slovakia,Good,34
8/7/2022,Slovenia,Good,34
8/7/2022,South Africa,Moderate,83
8/7/2022,South Korea,Moderate,88
8/7/2022,Spain,Moderate,86
8/7/2022,Sri Lanka,Good,42
8/7/2022,Sudan,Moderate,61
8/7/2022,Sweden,Good,21
8/7/2022,Switzerland,Good,32
8/7/2022,Taiwan,Moderate,54
8/7/2022,Tajikistan,Moderate,73
8/7/2022,Thailand,Unhealthy for Sensitive Groups,110
8/7/2022,Togo,Moderate,69
8/7/2022,Trinidad and Tobago,Good,43
8/7/2022,Turkey,Moderate,69
8/7/2022,Turkmenistan,Good,34
8/7/2022,Uganda,Unhealthy for Sensitive Groups,131
8/7/2022,Ukraine,Good,45
8/7/2022,United Arab Emirates,Unhealthy for Sensitive Groups,132
8/7/2022,United Kingdom of Great Britain and Northern Ireland,Good,42
8/7/2022,United States of America,Moderate,66
8/7/2022,Uzbekistan,Good,33
8/7/2022,Vatican,Good,38
8/7/2022,Venezuela,Good,19
8/7/2022,Vietnam,Unhealthy for Sensitive Groups,102
8/7/2022,Zambia,Unhealthy for Sensitive Groups,108
8/8/2022,Albania,Good,36
8/8/2022,Algeria,Moderate,65
8/8/2022,Andorra,Good,41
8/8/2022,Angola,Moderate,88
8/8/2022,Argentina,Good,18
8/8/2022,Armenia,Good,36
8/8/2022,Australia,Moderate,63
8/8/2022,Austria,Good,19
8/8/2022,Azerbaijan,Good,10
8/8/2022,Bahrain,Unhealthy,156
8/8/2022,Bangladesh,Unhealthy for Sensitive Groups,141
8/8/2022,Belarus,Good,27
8/8/2022,Belgium,Good,26
8/8/2022,Belize,Good,16
8/8/2022,Bermuda,Good,14
8/8/2022,Bolivia,Good,27
8/8/2022,Bosnia and Herzegovina,Moderate,77
8/8/2022,Brazil,Moderate,53
8/8/2022,Brunei,Good,11
8/8/2022,Bulgaria,Good,32
8/8/2022,Burkina Faso,Moderate,94
8/8/2022,Cambodia,Good,15
8/8/2022,Canada,Good,48
8/8/2022,Cape Verde,Good,36
8/8/2022,Cayman Islands,Good,20
8/8/2022,Central African Republic,Unhealthy for Sensitive Groups,115
8/8/2022,Chad,Unhealthy for Sensitive Groups,139
8/8/2022,Chile,Moderate,72
8/8/2022,China,Unhealthy for Sensitive Groups,119
8/8/2022,Colombia,Moderate,54
8/8/2022,Costa Rica,Good,15
8/8/2022,Croatia,Good,34
8/8/2022,Cyprus,Moderate,60
8/8/2022,Czech Republic,Good,45
8/8/2022,Denmark,Good,15
8/8/2022,Dominican Republic,Moderate,52
8/8/2022,Ecuador,Moderate,53
8/8/2022,Egypt,Moderate,86
8/8/2022,El Salvador,Moderate,74
8/8/2022,Estonia,Good,17
8/8/2022,Ethiopia,Unhealthy for Sensitive Groups,104
8/8/2022,Finland,Good,23
8/8/2022,France,Moderate,59
8/8/2022,French Guiana,Good,15
8/8/2022,Gabon,Unhealthy for Sensitive Groups,123
8/8/2022,Gambia,Good,1
8/8/2022,Georgia,Moderate,60
8/8/2022,Germany,Moderate,54
8/8/2022,Ghana,Moderate,91
8/8/2022,Gibraltar,Good,31
8/8/2022,Greece,Good,46
8/8/2022,Grenada,Good,8
8/8/2022,Guadeloupe,Good,31
8/8/2022,Guam,Good,4
8/8/2022,Guatemala,Good,18
8/8/2022,Honduras,Good,33
8/8/2022,Hong Kong,Good,18
8/8/2022,Hungary,Good,46
8/8/2022,Iceland,Good,10
8/8/2022,India,Hazardous,380
8/8/2022,Indonesia,Moderate,93
8/8/2022,Iran,Unhealthy for Sensitive Groups,129
8/8/2022,Iraq,Unhealthy,160
8/8/2022,Ireland,Good,23
8/8/2022,Israel,Moderate,69
8/8/2022,Italy,Moderate,77
8/8/2022,Ivory Coast,Good,50
8/8/2022,Japan,Moderate,75
8/8/2022,Jersey,Good,13
8/8/2022,Jordan,Good,23
8/8/2022,Kazakhstan,Moderate,92
8/8/2022,Kenya,Moderate,79
8/8/2022,Kosovo,Good,31
8/8/2022,Kuwait,Unhealthy,160
8/8/2022,Kyrgyzstan,Moderate,62
8/8/2022,Laos,Good,19
8/8/2022,Latvia,Good,19
8/8/2022,Lebanon,Moderate,76
8/8/2022,Liberia,Good,11
8/8/2022,Liechtenstein,Good,44
8/8/2022,Lithuania,Good,38
8/8/2022,Luxembourg,Good,44
8/8/2022,Macao,Good,21
8/8/2022,Macedonia,Good,35
8/8/2022,Madagascar,Moderate,79
8/8/2022,Malaysia,Moderate,69
8/8/2022,Malta,Good,49
8/8/2022,Martinique,Good,21
8/8/2022,Mexico,Moderate,84
8/8/2022,Moldova,Good,15
8/8/2022,Monaco,Good,27
8/8/2022,Mongolia,Good,42
8/8/2022,Montenegro,Moderate,62
8/8/2022,Myanmar,Good,25
8/8/2022,Nepal,Good,30
8/8/2022,Netherlands,Good,33
8/8/2022,New Caledonia,Good,28
8/8/2022,New Zealand,Good,15
8/8/2022,Nigeria,Unhealthy for Sensitive Groups,105
8/8/2022,Norway,Good,19
8/8/2022,Pakistan,Moderate,91
8/8/2022,Palestinian Territory,Good,46
8/8/2022,Peru,Unhealthy for Sensitive Groups,107
8/8/2022,Philippines,Moderate,83
8/8/2022,Poland,Good,38
8/8/2022,Portugal,Good,34
8/8/2022,Puerto Rico,Good,14
8/8/2022,Qatar,Unhealthy,183
8/8/2022,Reunion,Good,15
8/8/2022,Romania,Moderate,64
8/8/2022,Russia,Unhealthy for Sensitive Groups,119
8/8/2022,San Marino,Good,46
8/8/2022,Senegal,Good,33
8/8/2022,Serbia,Moderate,58
8/8/2022,Singapore,Moderate,63
8/8/2022,Slovakia,Good,45
8/8/2022,Slovenia,Good,34
8/8/2022,South Africa,Moderate,83
8/8/2022,South Korea,Moderate,53
8/8/2022,Spain,Moderate,81
8/8/2022,Sri Lanka,Good,22
8/8/2022,Sudan,Good,42
8/8/2022,Sweden,Good,23
8/8/2022,Switzerland,Good,47
8/8/2022,Taiwan,Moderate,52
8/8/2022,Tajikistan,Moderate,80
8/8/2022,Thailand,Moderate,74
8/8/2022,Togo,Moderate,57
8/8/2022,Trinidad and Tobago,Good,41
8/8/2022,Turkey,Moderate,88
8/8/2022,Turkmenistan,Moderate,74
8/8/2022,Uganda,Unhealthy,169
8/8/2022,Ukraine,Moderate,65
8/8/2022,United Arab Emirates,Unhealthy for Sensitive Groups,120
8/8/2022,United Kingdom of Great Britain and Northern Ireland,Moderate,61
8/8/2022,United States of America,Moderate,77
8/8/2022,Uzbekistan,Moderate,57
8/8/2022,Vatican,Moderate,55
8/8/2022,Venezuela,Good,9
8/8/2022,Vietnam,Moderate,81
8/8/2022,Zambia,Unhealthy,166
8/9/2022,Albania,Good,42
8/9/2022,Algeria,Moderate,65
8/9/2022,Andorra,Good,28
8/9/2022,Angola,Unhealthy,195
8/9/2022,Argentina,Good,21
8/9/2022,Armenia,Good,44
8/9/2022,Australia,Moderate,62
8/9/2022,Austria,Good,21
8/9/2022,Azerbaijan,Good,11
8/9/2022,Bahrain,Unhealthy,157
8/9/2022,Bangladesh,Unhealthy for Sensitive Groups,141
8/9/2022,Belarus,Good,20
8/9/2022,Belgium,Good,29
8/9/2022,Belize,Good,10
8/9/2022,Bermuda,Good,10
8/9/2022,Bolivia,Good,5
8/9/2022,Bosnia and Herzegovina,Moderate,69
8/9/2022,Brazil,Moderate,72
8/9/2022,Brunei,Good,13
8/9/2022,Bulgaria,Good,29
8/9/2022,Burkina Faso,Moderate,99
8/9/2022,Cambodia,Good,15
8/9/2022,Canada,Moderate,53
8/9/2022,Cape Verde,Good,42
8/9/2022,Cayman Islands,Good,22
8/9/2022,Central African Republic,Unhealthy for Sensitive Groups,132
8/9/2022,Chad,Moderate,95
8/9/2022,Chile,Unhealthy for Sensitive Groups,126
8/9/2022,China,Unhealthy for Sensitive Groups,114
8/9/2022,Colombia,Moderate,58
8/9/2022,Costa Rica,Good,25
8/9/2022,Croatia,Good,29
8/9/2022,Cyprus,Moderate,72
8/9/2022,Czech Republic,Moderate,53
8/9/2022,Denmark,Good,13
8/9/2022,Dominican Republic,Good,26
8/9/2022,Ecuador,Moderate,57
8/9/2022,Egypt,Moderate,86
8/9/2022,El Salvador,Moderate,91
8/9/2022,Estonia,Good,19
8/9/2022,Ethiopia,Unhealthy for Sensitive Groups,108
8/9/2022,Finland,Good,22
8/9/2022,France,Moderate,66
8/9/2022,French Guiana,Good,16
8/9/2022,Gabon,Unhealthy for Sensitive Groups,129
8/9/2022,Gambia,Good,3
8/9/2022,Georgia,Moderate,57
8/9/2022,Germany,Moderate,57
8/9/2022,Ghana,Moderate,83
8/9/2022,Gibraltar,Good,36
8/9/2022,Greece,Good,41
8/9/2022,Grenada,Good,5
8/9/2022,Guadeloupe,Good,22
8/9/2022,Guam,Good,1
8/9/2022,Guatemala,Good,23
8/9/2022,Honduras,Good,10
8/9/2022,Hong Kong,Good,21
8/9/2022,Hungary,Good,41
8/9/2022,Iceland,Good,10
8/9/2022,India,Unhealthy,156
8/9/2022,Indonesia,Moderate,93
8/9/2022,Iran,Unhealthy,153
8/9/2022,Iraq,Unhealthy,152
8/9/2022,Ireland,Good,27
8/9/2022,Israel,Moderate,75
8/9/2022,Italy,Moderate,72
8/9/2022,Ivory Coast,Moderate,65
8/9/2022,Japan,Moderate,77
8/9/2022,Jersey,Good,26
8/9/2022,Jordan,Good,27
8/9/2022,Kazakhstan,Unhealthy for Sensitive Groups,114
8/9/2022,Kenya,Moderate,72
8/9/2022,Kosovo,Good,38
8/9/2022,Kuwait,Very Unhealthy,273
8/9/2022,Kyrgyzstan,Moderate,57
8/9/2022,Laos,Good,19
8/9/2022,Latvia,Good,27
8/9/2022,Lebanon,Moderate,76
8/9/2022,Liberia,Good,34
8/9/2022,Liechtenstein,Good,13
8/9/2022,Lithuania,Good,30
8/9/2022,Luxembourg,Moderate,67
8/9/2022,Macao,Good,46
8/9/2022,Macedonia,Good,45
8/9/2022,Madagascar,Good,25
8/9/2022,Malaysia,Moderate,76
8/9/2022,Malta,Good,40
8/9/2022,Martinique,Good,30
8/9/2022,Mexico,Moderate,92
8/9/2022,Moldova,Good,14
8/9/2022,Monaco,Good,32
8/9/2022,Mongolia,Moderate,56
8/9/2022,Montenegro,Good,47
8/9/2022,Myanmar,Good,25
8/9/2022,Nepal,Good,38
8/9/2022,Netherlands,Good,44
8/9/2022,New Caledonia,Moderate,73
8/9/2022,New Zealand,Good,19
8/9/2022,Nigeria,Unhealthy for Sensitive Groups,105
8/9/2022,Norway,Good,27
8/9/2022,Pakistan,Moderate,91
8/9/2022,Palestinian Territory,Moderate,56
8/9/2022,Peru,Moderate,96
8/9/2022,Philippines,Moderate,83
8/9/2022,Poland,Good,40
8/9/2022,Portugal,Good,34
8/9/2022,Puerto Rico,Good,11
8/9/2022,Qatar,Unhealthy,183
8/9/2022,Reunion,Good,25
8/9/2022,Romania,Moderate,61
8/9/2022,Russia,Unhealthy for Sensitive Groups,117
8/9/2022,San Marino,Good,39
8/9/2022,Senegal,Good,33
8/9/2022,Serbia,Moderate,83
8/9/2022,Singapore,Good,44
8/9/2022,Slovakia,Good,40
8/9/2022,Slovenia,Good,35
8/9/2022,South Africa,Moderate,83
8/9/2022,South Korea,Good,49
8/9/2022,Spain,Moderate,82
8/9/2022,Sri Lanka,Good,37
8/9/2022,Sudan,Moderate,95
8/9/2022,Sweden,Good,20
8/9/2022,Switzerland,Good,48
8/9/2022,Taiwan,Moderate,67
8/9/2022,Tajikistan,Moderate,71
8/9/2022,Thailand,Moderate,96
8/9/2022,Togo,Moderate,53
8/9/2022,Trinidad and Tobago,Good,38
8/9/2022,Turkey,Moderate,81
8/9/2022,Turkmenistan,Moderate,53
8/9/2022,Uganda,Unhealthy,154
8/9/2022,Ukraine,Moderate,59
8/9/2022,United Arab Emirates,Moderate,99
8/9/2022,United Kingdom of Great Britain and Northern Ireland,Moderate,58
8/9/2022,United States of America,Moderate,95
8/9/2022,Uzbekistan,Good,45
8/9/2022,Vatican,Moderate,57
8/9/2022,Venezuela,Good,7
8/9/2022,Vietnam,Unhealthy for Sensitive Groups,105
8/9/2022,Zambia,Unhealthy,169
8/10/2022,Albania,Good,35
8/10/2022,Algeria,Moderate,65
8/10/2022,Andorra,Good,50
8/10/2022,Angola,Unhealthy,189
8/10/2022,Argentina,Good,29
8/10/2022,Armenia,Good,36
8/10/2022,Australia,Good,48
8/10/2022,Austria,Good,27
8/10/2022,Azerbaijan,Moderate,55
8/10/2022,Bahrain,Unhealthy for Sensitive Groups,132
8/10/2022,Bangladesh,Unhealthy for Sensitive Groups,141
8/10/2022,Belarus,Good,32
8/10/2022,Belgium,Good,42
8/10/2022,Belize,Good,13
8/10/2022,Bermuda,Good,15
8/10/2022,Bolivia,Good,20
8/10/2022,Bosnia and Herzegovina,Moderate,62
8/10/2022,Brazil,Moderate,55
8/10/2022,Brunei,Good,14
8/10/2022,Bulgaria,Good,30
8/10/2022,Burkina Faso,Moderate,83
8/10/2022,Cambodia,Good,15
8/10/2022,Canada,Moderate,56
8/10/2022,Cape Verde,Good,40
8/10/2022,Cayman Islands,Good,18
8/10/2022,Central African Republic,Unhealthy for Sensitive Groups,134
8/10/2022,Chad,Moderate,57
8/10/2022,Chile,Moderate,85
8/10/2022,China,Unhealthy,155
8/10/2022,Colombia,Moderate,68
8/10/2022,Costa Rica,Good,20
8/10/2022,Croatia,Good,32
8/10/2022,Cyprus,Moderate,70
8/10/2022,Czech Republic,Moderate,57
8/10/2022,Denmark,Good,15
8/10/2022,Dominican Republic,Good,13
8/10/2022,Ecuador,Moderate,60
8/10/2022,Egypt,Moderate,86
8/10/2022,El Salvador,Moderate,74
8/10/2022,Estonia,Good,24
8/10/2022,Ethiopia,Unhealthy,156
8/10/2022,Finland,Good,25
8/10/2022,France,Moderate,76
8/10/2022,French Guiana,Good,16
8/10/2022,Gabon,Unhealthy,167
8/10/2022,Gambia,Good,4
8/10/2022,Georgia,Moderate,53
8/10/2022,Germany,Moderate,58
8/10/2022,Ghana,Moderate,84
8/10/2022,Gibraltar,Moderate,99
8/10/2022,Greece,Good,50
8/10/2022,Grenada,Good,5
8/10/2022,Guadeloupe,Good,14
8/10/2022,Guam,Good,1
8/10/2022,Guatemala,Good,27
8/10/2022,Honduras,Good,2
8/10/2022,Hong Kong,Good,20
8/10/2022,Hungary,Good,38
8/10/2022,Iceland,Good,15
8/10/2022,India,Unhealthy for Sensitive Groups,150
8/10/2022,Indonesia,Moderate,93
8/10/2022,Iran,Very Unhealthy,255
8/10/2022,Iraq,Very Unhealthy,226
8/10/2022,Ireland,Good,29
8/10/2022,Israel,Moderate,74
8/10/2022,Italy,Moderate,72
8/10/2022,Ivory Coast,Moderate,63
8/10/2022,Japan,Moderate,75
8/10/2022,Jersey,Good,25
8/10/2022,Jordan,Good,33
8/10/2022,Kazakhstan,Unhealthy for Sensitive Groups,113
8/10/2022,Kenya,Good,21
8/10/2022,Kosovo,Good,46
8/10/2022,Kuwait,Hazardous,407
8/10/2022,Kyrgyzstan,Moderate,59
8/10/2022,Laos,Good,26
8/10/2022,Latvia,Good,28
8/10/2022,Lebanon,Moderate,76
8/10/2022,Liberia,Moderate,51
8/10/2022,Liechtenstein,Good,45
8/10/2022,Lithuania,Good,28
8/10/2022,Luxembourg,Moderate,54
8/10/2022,Macao,Good,26
8/10/2022,Macedonia,Moderate,54
8/10/2022,Madagascar,Good,26
8/10/2022,Malaysia,Moderate,76
8/10/2022,Malta,Good,40
8/10/2022,Martinique,Good,29
8/10/2022,Mexico,Moderate,88
8/10/2022,Moldova,Good,8
8/10/2022,Monaco,Good,38
8/10/2022,Mongolia,Good,47
8/10/2022,Montenegro,Good,43
8/10/2022,Myanmar,Good,21
8/10/2022,Nepal,Good,50
8/10/2022,Netherlands,Moderate,53
8/10/2022,New Caledonia,Good,29
8/10/2022,New Zealand,Good,23
8/10/2022,Nigeria,Unhealthy for Sensitive Groups,105
8/10/2022,Norway,Good,30
8/10/2022,Pakistan,Moderate,91
8/10/2022,Palestinian Territory,Moderate,56
8/10/2022,Peru,Moderate,99
8/10/2022,Philippines,Moderate,83
8/10/2022,Poland,Good,39
8/10/2022,Portugal,Good,30
8/10/2022,Puerto Rico,Good,10
8/10/2022,Qatar,Unhealthy,183
8/10/2022,Reunion,Good,28
8/10/2022,Romania,Moderate,54
8/10/2022,Russia,Moderate,91
8/10/2022,San Marino,Good,42
8/10/2022,Senegal,Good,33
8/10/2022,Serbia,Moderate,56
8/10/2022,Singapore,Good,42
8/10/2022,Slovakia,Good,41
8/10/2022,Slovenia,Good,33
8/10/2022,South Africa,Moderate,83
8/10/2022,South Korea,Moderate,66
8/10/2022,Spain,Moderate,87
8/10/2022,Sri Lanka,Good,38
8/10/2022,Sudan,Unhealthy for Sensitive Groups,102
8/10/2022,Sweden,Good,21
8/10/2022,Switzerland,Good,49
8/10/2022,Taiwan,Moderate,53
8/10/2022,Tajikistan,Moderate,73
8/10/2022,Thailand,Moderate,70
8/10/2022,Togo,Moderate,80
8/10/2022,Trinidad and Tobago,Good,38
8/10/2022,Turkey,Moderate,81
8/10/2022,Turkmenistan,Moderate,70
8/10/2022,Uganda,Unhealthy for Sensitive Groups,142
8/10/2022,Ukraine,Moderate,54
8/10/2022,United Arab Emirates,Moderate,100
8/10/2022,United Kingdom of Great Britain and Northern Ireland,Moderate,62
8/10/2022,United States of America,Moderate,84
8/10/2022,Uzbekistan,Good,12
8/10/2022,Vatican,Good,42
8/10/2022,Venezuela,Good,14
8/10/2022,Vietnam,Good,37
8/10/2022,Zambia,Unhealthy,157
8/11/2022,Albania,Moderate,60
8/11/2022,Algeria,Moderate,65
8/11/2022,Andorra,Good,47
8/11/2022,Angola,Moderate,84
8/11/2022,Argentina,Good,33
8/11/2022,Armenia,Moderate,53
8/11/2022,Australia,Good,43
8/11/2022,Austria,Good,21
8/11/2022,Azerbaijan,Moderate,69
8/11/2022,Bahrain,Unhealthy,200
8/11/2022,Bangladesh,Unhealthy for Sensitive Groups,141
8/11/2022,Belarus,Good,49
8/11/2022,Belgium,Good,49
8/11/2022,Belize,Good,30
8/11/2022,Bermuda,Good,11
8/11/2022,Bolivia,Good,8
8/11/2022,Bosnia and Herzegovina,Moderate,55
8/11/2022,Brazil,Good,49
8/11/2022,Brunei,Good,12
8/11/2022,Bulgaria,Good,31
8/11/2022,Burkina Faso,Moderate,76
8/11/2022,Cambodia,Good,15
8/11/2022,Canada,Moderate,58
8/11/2022,Cape Verde,Moderate,52
8/11/2022,Cayman Islands,Good,6
8/11/2022,Central African Republic,Unhealthy,161
8/11/2022,Chad,Moderate,87
8/11/2022,Chile,Unhealthy for Sensitive Groups,122
8/11/2022,China,Unhealthy,167
8/11/2022,Colombia,Moderate,62
8/11/2022,Costa Rica,Good,17
8/11/2022,Croatia,Good,28
8/11/2022,Cyprus,Moderate,63
8/11/2022,Czech Republic,Moderate,52
8/11/2022,Denmark,Good,15
8/11/2022,Dominican Republic,Good,20
8/11/2022,Ecuador,Moderate,73
8/11/2022,Egypt,Moderate,86
8/11/2022,El Salvador,Moderate,81
8/11/2022,Estonia,Good,24
8/11/2022,Ethiopia,Moderate,70
8/11/2022,Finland,Good,26
8/11/2022,France,Moderate,76
8/11/2022,French Guiana,Good,13
8/11/2022,Gabon,Unhealthy for Sensitive Groups,128
8/11/2022,Gambia,Good,30
8/11/2022,Georgia,Moderate,57
8/11/2022,Germany,Moderate,69
8/11/2022,Ghana,Moderate,100
8/11/2022,Gibraltar,Good,25
8/11/2022,Greece,Good,43
8/11/2022,Grenada,Good,16
8/11/2022,Guadeloupe,Good,40
8/11/2022,Guam,Good,1
8/11/2022,Guatemala,Good,33
8/11/2022,Honduras,Good,22
8/11/2022,Hong Kong,Good,23
8/11/2022,Hungary,Good,35
8/11/2022,Iceland,Good,15
8/11/2022,India,Unhealthy for Sensitive Groups,124
8/11/2022,Indonesia,Moderate,93
8/11/2022,Iran,Hazardous,308
8/11/2022,Iraq,Unhealthy for Sensitive Groups,137
8/11/2022,Ireland,Good,32
8/11/2022,Israel,Moderate,71
8/11/2022,Italy,Moderate,69
8/11/2022,Ivory Coast,Moderate,59
8/11/2022,Japan,Moderate,67
8/11/2022,Jersey,Good,21
8/11/2022,Jordan,Good,30
8/11/2022,Kazakhstan,Moderate,96
8/11/2022,Kenya,Good,30
8/11/2022,Kosovo,Good,32
8/11/2022,Kuwait,Hazardous,340
8/11/2022,Kyrgyzstan,Moderate,84
8/11/2022,Laos,Good,14
8/11/2022,Latvia,Good,18
8/11/2022,Lebanon,Moderate,76
8/11/2022,Liberia,Good,2
8/11/2022,Liechtenstein,Moderate,53
8/11/2022,Lithuania,Good,35
8/11/2022,Luxembourg,Moderate,51
8/11/2022,Macao,Good,20
8/11/2022,Macedonia,Good,42
8/11/2022,Madagascar,Good,23
8/11/2022,Malaysia,Moderate,83
8/11/2022,Malta,Good,43
8/11/2022,Martinique,Good,22
8/11/2022,Mexico,Moderate,84
8/11/2022,Moldova,Good,27
8/11/2022,Monaco,Good,29
8/11/2022,Mongolia,Moderate,65
8/11/2022,Montenegro,Good,40
8/11/2022,Myanmar,Good,29
8/11/2022,Nepal,Good,41
8/11/2022,Netherlands,Moderate,66
8/11/2022,New Caledonia,Good,30
8/11/2022,New Zealand,Good,34
8/11/2022,Nigeria,Unhealthy for Sensitive Groups,105
8/11/2022,Norway,Good,39
8/11/2022,Pakistan,Moderate,91
8/11/2022,Palestinian Territory,Good,49
8/11/2022,Peru,Unhealthy for Sensitive Groups,107
8/11/2022,Philippines,Moderate,83
8/11/2022,Poland,Good,37
8/11/2022,Portugal,Good,36
8/11/2022,Puerto Rico,Good,8
8/11/2022,Qatar,Unhealthy,183
8/11/2022,Reunion,Good,22
8/11/2022,Romania,Moderate,67
8/11/2022,Russia,Unhealthy for Sensitive Groups,130
8/11/2022,San Marino,Good,46
8/11/2022,Senegal,Good,33
8/11/2022,Serbia,Moderate,51
8/11/2022,Singapore,Good,27
8/11/2022,Slovakia,Good,27
8/11/2022,Slovenia,Good,29
8/11/2022,South Africa,Moderate,83
8/11/2022,South Korea,Moderate,75
8/11/2022,Spain,Moderate,85
8/11/2022,Sri Lanka,Good,23
8/11/2022,Sudan,Unhealthy for Sensitive Groups,117
8/11/2022,Sweden,Good,21
8/11/2022,Switzerland,Moderate,54
8/11/2022,Taiwan,Good,50
8/11/2022,Tajikistan,Moderate,64
8/11/2022,Thailand,Unhealthy for Sensitive Groups,113
8/11/2022,Togo,Moderate,76
8/11/2022,Trinidad and Tobago,Good,34
8/11/2022,Turkey,Moderate,80
8/11/2022,Turkmenistan,Moderate,61
8/11/2022,Uganda,Unhealthy,157
8/11/2022,Ukraine,Moderate,74
